Counts,Dilution
94,200
57,200
52,200
125,200
19,200
131,200
85,200
121,200
122,200
30,200
110,200
150,200
65,200
117,200
37,200
98,200
122,200
83,200
32,200
113,200
123,200
128,200
128,200
122,200
131,200
46,200
121,200
121,200
108,200
79,200
48,200
117,200
28,200
104,200
35,200
121,200
85,200
41,200
49,200
46,200
65,200
37,200
114,200
37,200
113,200
117,200
117,200
94,200
109,200
38,200
42,200
37,200
94,200
132,200
107,200
137,200
47,200
31,200
44,200
125,200
119,200
138,200
73,200
38,200
123,200
153,200
48,200
72,200
126,200
89,200
43,200
103,200
136,200
113,200
123,200
116,200
130,200
93,200
116,200
45,200
34,200
121,200
107,200
49,200
79,200
101,200
106,200
44,200
135,200
130,200
87,200
126,200
87,200
97,200
111,200
116,200
126,200
78,200
33,200
136,200
38,200
65,200
140,200
128,200
56,200
113,200
130,200
95,200
113,200
47,200
118,200
115,200
109,200
86,200
67,200
90,200
128,200
143,200
84,200
119,200
39,200
108,200
71,200
86,200
135,200
127,200
67,200
138,200
105,200
99,200
107,200
113,200
121,200
126,200
140,200
76,200
111,200
35,200
101,200
123,200
105,200
94,200
26,200
53,200
97,200
82,200
126,200
35,200
124,200
42,200
33,200
45,200
131,200
130,200
116,200
118,200
65,200
112,200
130,200
42,200
122,200
86,200
109,200
32,200
76,200
128,200
131,200
132,200
88,200
124,200
45,200
76,200
76,200
95,200
39,200
118,200
47,200
131,200
45,200
130,200
42,200
142,200
127,200
41,200
45,200
64,200
78,200
83,200
26,200
123,200
120,200
129,200
32,200
115,200
113,200
84,200
42,200
60,200
105,200
81,200
93,200
75,200
50,200
38,200
87,200
108,200
115,200
46,200
98,200
32,200
73,200
100,200
43,200
32,200
112,200
107,200
123,200
73,200
72,200
54,200
120,200
115,200
79,200
115,200
31,200
48,200
45,200
38,200
73,200
43,200
106,200
45,200
119,200
116,200
130,200
39,200
107,200
81,200
127,200
98,200
118,200
82,200
74,200
70,200
116,200
122,200
126,200
90,200
46,200
135,200
44,200
124,200
147,200
120,200
131,200
43,200
86,200
124,200
103,200
76,200
69,200
41,200
76,200
104,200
131,200
123,200
77,200
33,200
98,200
68,200
125,200
77,200
28,200
114,200
26,200
132,200
40,200
117,200
98,200
66,200
121,200
100,200
39,200
29,200
57,200
97,200
79,200
129,200
79,200
78,200
94,200
120,200
127,200
114,200
116,200
29,200
107,200
125,200
81,200
61,200
85,200
54,200
100,200
24,200
27,200
92,200
125,200
96,200
100,200
38,200
135,200
55,200
34,200
43,200
74,200
44,200
88,200
133,200
109,200
102,200
35,200
116,200
133,200
101,200
45,200
134,200
58,200
39,200
37,200
129,200
39,200
23,200
94,200
98,200
108,200
134,200
107,200
123,200
121,200
125,200
51,200
114,200
103,200
43,200
114,200
125,200
80,200
49,200
68,200
144,200
119,200
25,200
94,200
121,200
118,200
98,200
95,200
121,200
93,200
29,200
41,200
123,200
89,200
107,200
105,200
109,200
29,200
113,200
121,200
83,200
44,200
125,200
44,200
91,200
51,200
114,200
37,200
34,200
105,200
104,200
132,200
123,200
44,200
42,200
118,200
80,200
30,200
112,200
80,200
80,200
75,200
154,200
69,200
117,200
115,200
43,200
122,200
71,200
33,200
126,200
124,200
76,200
106,200
113,200
128,200
123,200
31,200
132,200
74,200
110,200
105,200
41,200
134,200
131,200
41,200
29,200
135,200
38,200
37,200
107,200
36,200
80,200
122,200
127,200
89,200
134,200
66,200
111,200
56,200
127,200
128,200
121,200
118,200
138,200
96,200
47,200
70,200
72,200
39,200
110,200
82,200
84,200
135,200
49,200
99,200
43,200
129,200
55,200
87,200
118,200
107,200
119,200
46,200
120,200
122,200
28,200
116,200
29,200
88,200
21,200
47,200
46,200
104,200
118,200
121,200
119,200
37,200
29,200
41,200
46,200
125,200
135,200
130,200
37,200
121,200
130,200
40,200
37,200
125,200
89,200
49,200
80,200
69,200
110,200
36,200
137,200
118,200
138,200
111,200
76,200
113,200
109,200
91,200
111,200
38,200
34,200
81,200
78,200
126,200
104,200
120,200
126,200
113,200
52,200
117,200
31,200
108,200
130,200
129,200
134,200
9,200
46,200
111,200
131,200
141,200
132,200
70,200
105,200
82,200
38,200
120,200
34,200
125,200
116,200
128,200
122,200
101,200
106,200
116,200
128,200
129,200
138,200
70,200
88,200
65,200
37,200
42,200
104,200
103,200
39,200
123,200
29,200
128,200
45,200
134,200
130,200
126,200
132,200
73,200
107,200
103,200
126,200
54,200
41,200
31,200
56,200
111,200
90,200
52,200
89,200
99,200
91,200
114,200
108,200
42,200
45,200
30,200
126,200
38,200
68,200
33,200
30,200
114,200
44,200
116,200
73,200
75,200
29,200
73,200
39,200
32,200
47,200
83,200
68,200
100,200
157,200
72,200
36,200
115,200
119,200
36,200
112,200
153,200
59,200
29,200
129,200
105,200
48,200
109,200
125,200
29,200
32,200
104,200
84,200
117,200
134,200
76,200
45,200
33,200
42,200
131,200
85,200
76,200
127,200
66,200
132,200
134,200
126,200
49,200
24,200
39,200
90,200
122,200
105,200
31,200
123,200
125,200
89,200
20,200
118,200
67,200
115,200
33,200
33,200
42,200
41,200
95,200
40,200
101,200
46,200
128,200
32,200
117,200
25,200
116,200
77,200
96,200
127,200
139,200
130,200
122,200
111,200
129,200
49,200
109,200
103,200
39,200
78,200
131,200
68,200
33,200
117,200
82,200
107,200
142,200
67,200
111,200
132,200
58,200
87,200
99,200
121,200
104,200
117,200
107,200
