Counts,Dilution
20,2000
120,200
298,20
148,200
258,20
158,200
284,200
23,200
288,20
243,200
30,200
38,200
236,200
268,20
20,2000
160,200
120,200
262,200
28,2000
36,200
239,200
292,200
37,2000
20,200
227,200
37,200
228,20
249,20
243,20
258,200
33,200
37,2000
300,20
181,200
25,2000
27,200
265,20
32,2000
32,200
245,20
248,20
279,200
299,20
35,200
289,20
28,2000
153,200
38,200
145,200
37,2000
36,2000
284,20
30,2000
45,200
36,200
34,200
42,200
39,2000
168,200
237,200
43,2000
173,20
27,2000
193,200
25,200
249,200
280,20
35,200
291,200
40,2000
218,200
295,200
30,2000
278,20
284,20
29,2000
41,2000
260,20
290,200
27,2000
40,200
33,200
29,200
203,20
155,20
268,200
36,200
18,200
43,200
26,2000
34,2000
23,200
292,20
153,200
269,200
281,20
243,200
266,200
276,20
291,200
257,20
126,200
202,20
29,2000
187,200
42,200
41,200
36,200
47,2000
28,200
148,200
300,20
40,200
29,2000
172,200
30,2000
38,2000
22,2000
283,200
127,200
300,20
37,2000
35,200
46,200
282,20
41,200
228,20
206,20
283,20
265,20
252,20
292,20
37,200
289,20
37,2000
242,20
256,20
25,200
123,200
296,200
273,200
27,2000
37,200
292,200
30,200
220,200
143,200
145,200
158,200
181,200
293,20
213,20
27,2000
123,200
139,200
236,20
46,200
36,2000
236,20
35,200
286,20
293,200
288,200
288,200
268,20
269,20
271,20
44,200
28,200
270,200
28,200
165,200
187,20
256,200
34,2000
41,200
250,200
299,200
287,20
42,2000
295,200
148,200
132,200
253,200
265,20
58,2000
43,2000
35,2000
35,200
38,200
273,200
168,200
170,20
293,200
154,200
247,20
282,200
135,200
228,20
204,200
262,200
37,2000
168,200
153,200
145,200
34,200
34,2000
242,200
270,20
34,2000
28,200
39,2000
232,20
27,2000
26,2000
255,200
40,200
147,200
156,200
200,200
289,200
35,2000
281,200
297,200
35,200
39,2000
238,20
239,20
226,20
264,200
265,20
46,200
37,2000
268,200
281,200
167,200
32,2000
26,2000
286,200
293,200
250,200
24,2000
296,20
32,2000
36,200
145,200
212,200
286,200
29,2000
290,200
300,20
276,200
32,2000
31,200
32,2000
38,200
127,200
37,200
240,200
253,200
29,200
238,200
167,200
251,20
256,200
207,200
31,200
260,200
113,20
37,2000
26,2000
124,200
284,200
294,200
286,200
46,200
240,20
293,200
37,200
273,200
277,200
30,200
28,200
246,20
132,20
44,200
36,200
32,2000
260,200
292,200
31,200
167,200
289,200
276,20
281,200
37,200
242,20
285,20
276,20
140,200
263,200
43,200
154,200
278,200
30,200
271,20
30,200
267,200
226,200
296,200
27,200
275,200
35,2000
35,200
291,200
160,20
27,2000
174,200
284,20
38,200
48,200
141,200
240,20
156,200
288,200
152,200
227,200
129,200
133,200
33,200
298,200
33,2000
193,20
36,2000
33,2000
32,2000
31,2000
26,200
30,2000
188,200
264,20
277,200
284,20
22,2000
294,200
293,200
35,200
152,200
288,200
276,20
164,200
24,2000
25,2000
30,200
29,200
40,200
299,20
149,200
183,200
238,20
156,200
275,200
34,2000
295,200
225,200
243,200
287,20
289,200
25,200
237,20
286,200
273,200
39,200
154,200
196,200
281,20
140,200
23,200
225,20
285,200
191,200
211,20
34,200
39,200
211,20
160,200
160,200
211,20
45,2000
272,200
211,200
47,2000
270,20
97,200
298,20
281,20
161,200
153,200
50,200
229,20
277,200
38,200
241,200
298,20
34,2000
31,2000
165,200
29,2000
279,20
292,200
40,2000
227,200
116,200
32,2000
278,20
33,2000
41,2000
129,200
283,20
146,200
29,200
27,200
287,20
283,200
288,20
258,200
287,20
276,200
280,20
272,200
279,200
32,2000
290,200
237,20
134,200
33,2000
261,200
270,20
34,2000
284,200
37,2000
296,200
273,200
36,2000
22,2000
251,20
288,200
37,2000
229,200
35,200
119,200
33,200
286,200
259,200
40,2000
289,20
29,2000
35,2000
237,200
244,20
33,2000
31,2000
146,200
30,2000
32,2000
147,200
128,200
137,200
28,2000
39,200
278,20
33,2000
195,200
36,2000
294,200
138,200
24,2000
36,200
31,2000
42,200
156,200
31,2000
45,200
37,200
39,2000
263,20
30,200
279,20
36,200
127,200
38,200
156,200
35,200
38,2000
264,20
149,200
295,20
36,200
232,20
124,200
142,200
35,2000
37,200
217,20
40,2000
190,200
130,200
49,200
227,200
31,2000
28,2000
240,20
32,2000
272,20
107,20
179,200
236,200
37,200
23,200
129,200
136,200
38,2000
50,200
37,2000
29,2000
292,20
280,200
251,20
34,200
290,20
194,200
241,20
278,20
196,20
280,200
164,200
238,200
226,200
291,20
33,2000
255,200
148,200
35,200
299,20
261,20
299,200
255,200
173,20
33,2000
24,200
42,200
274,200
143,200
257,20
181,200
289,200
292,200
182,200
28,200
41,200
39,200
146,200
34,200
234,20
217,200
46,2000
32,2000
38,200
163,200
146,200
31,200
246,20
35,200
41,2000
22,2000
34,200
29,2000
295,200
23,2000
30,200
33,2000
295,200
196,200
255,200
30,200
164,200
204,200
242,20
161,200
27,200
286,20
189,200
27,2000
33,200
25,2000
291,200
238,200
38,200
298,200
107,200
291,200
30,2000
42,2000
153,200
136,200
131,200
165,200
287,20
129,200
135,200
221,200
288,200
29,200
259,200
150,200
47,2000
156,200
257,20
29,2000
28,2000
299,200
295,200
180,20
169,20
272,20
256,200
41,200
38,2000
234,200
285,20
300,20
265,20
51,200
35,2000
38,200
151,200
33,2000
24,2000
22,2000
176,200
236,20
36,2000
221,20
24,2000
139,200
155,200
268,200
32,2000
23,2000
33,200
41,2000
30,2000
30,2000
229,200
36,2000
243,200
33,2000
26,200
242,20
279,200
282,200
29,2000
31,200
30,200
35,200
262,200
40,2000
42,2000
48,2000
284,200
35,2000
172,20
297,20
296,200
33,2000
38,200
31,200
31,2000
29,2000
285,200
34,2000
42,2000
34,2000
32,200
203,200
27,2000
156,20
235,200
256,200
253,20
155,200
55,200
224,200
37,2000
35,200
176,200
177,200
26,200
34,200
127,200
295,200
206,200
170,200
300,20
182,200
41,200
28,2000
43,2000
273,20
43,2000
272,200
42,2000
159,200
270,200
23,2000
247,20
274,20
31,200
180,200
32,200
47,2000
275,20
31,2000
133,200
280,20
209,20
43,200
152,200
158,200
33,2000
286,20
297,20
261,20
36,200
161,200
25,2000
262,20
30,200
32,200
39,200
277,200
147,200
247,200
40,2000
246,200
38,200
37,200
24,200
275,20
41,200
215,200
30,200
42,2000
299,200
44,200
275,20
150,200
34,200
24,2000
39,200
31,2000
40,2000
150,200
38,2000
288,200
300,20
184,200
33,200
32,200
41,2000
29,2000
22,2000
140,200
23,200
250,20
270,200
27,200
37,2000
36,200
154,200
37,200
45,200
218,200
143,200
280,200
24,200
27,2000
239,20
176,200
226,20
201,20
243,20
22,2000
26,2000
289,20
42,200
34,2000
174,20
31,2000
162,200
257,200
30,200
36,2000
259,20
151,200
131,200
141,200
139,200
162,200
272,200
31,200
39,200
34,2000
41,200
39,2000
297,20
139,200
45,200
274,20
271,20
29,200
280,200
40,200
189,20
240,20
289,20
283,20
33,2000
269,200
34,2000
42,2000
289,200
44,2000
265,20
28,200
274,200
31,2000
27,2000
241,20
42,200
30,2000
39,200
44,200
108,200
35,200
183,20
288,200
283,200
19,200
271,200
29,2000
242,20
21,2000
213,20
284,200
215,20
256,200
172,200
164,200
257,200
275,20
36,200
287,200
150,200
35,200
152,200
250,20
295,200
278,200
286,20
35,200
47,2000
37,2000
277,200
268,200
41,200
39,200
39,200
148,200
285,200
41,2000
256,20
300,20
40,2000
149,200
36,200
158,200
257,200
43,2000
196,200
161,200
292,200
39,2000
34,200
151,200
277,20
285,200
143,200
221,200
28,2000
35,2000
40,200
235,200
249,200
31,2000
162,200
264,20
272,200
134,200
25,2000
253,200
32,200
138,200
101,200
148,200
282,200
290,200
43,200
250,20
29,200
205,20
233,20
262,200
29,2000
34,2000
219,200
252,20
44,2000
35,200
52,2000
44,200
292,20
42,2000
176,20
29,200
218,20
266,200
30,2000
29,200
298,20
286,20
107,200
277,20
273,200
34,2000
284,20
25,200
155,200
283,20
37,200
220,20
285,20
286,200
33,200
209,20
29,200
297,200
186,200
287,20
28,2000
188,200
247,20
292,20
286,200
289,200
149,200
38,2000
174,200
240,20
37,2000
253,20
35,2000
263,20
24,200
244,200
167,200
30,2000
31,2000
30,200
293,200
33,2000
33,2000
35,200
278,200
30,2000
300,200
29,2000
174,200
231,20
270,200
27,200
26,2000
263,200
180,200
300,20
270,20
38,2000
201,20
27,2000
243,20
216,20
223,200
274,200
164,200
281,20
31,200
59,200
240,20
299,200
151,200
256,20
149,200
32,2000
205,20
202,20
35,2000
131,200
265,20
148,200
192,200
20,2000
25,200
277,200
22,2000
283,20
225,20
32,200
33,200
292,20
236,200
147,200
37,2000
28,2000
138,200
27,200
45,200
217,200
35,200
95,200
175,200
39,2000
192,200
31,200
184,200
278,20
36,2000
178,20
45,200
28,200
37,200
262,20
44,2000
34,200
32,200
34,2000
298,20
159,200
218,20
30,200
153,200
289,20
285,20
293,200
115,200
37,2000
157,200
115,200
205,200
26,2000
32,2000
33,2000
38,200
292,200
186,20
292,200
290,20
40,2000
211,20
42,200
238,200
28,2000
208,200
113,200
279,200
255,200
29,200
141,200
35,2000
31,200
135,200
191,200
29,200
244,200
27,200
34,200
297,200
197,20
32,200
33,2000
28,2000
275,200
268,20
173,200
292,20
40,2000
278,20
254,200
154,200
127,200
184,20
40,200
263,20
237,20
42,2000
285,20
41,200
265,20
169,200
278,200
255,20
128,200
43,2000
34,200
297,20
300,200
99,200
209,20
239,20
281,200
33,200
38,200
168,200
192,20
282,200
41,200
174,200
240,20
239,20
188,20
46,200
245,20
176,200
157,20
242,200
177,200
265,200
81,200
248,200
31,200
292,20
148,200
206,200
166,200
289,200
40,200
36,2000
266,20
37,2000
275,200
40,2000
163,200
300,200
176,200
27,2000
27,200
173,20
298,200
246,200
297,200
295,20
37,200
37,200
34,200
113,200
154,200
39,2000
288,200
170,200
183,200
253,20
289,20
37,2000
149,200
263,20
46,2000
42,2000
29,2000
95,200
244,20
269,200
33,2000
250,200
291,20
139,200
215,200
150,200
27,200
296,20
255,200
26,200
40,2000
285,200
25,200
31,200
173,200
154,200
141,200
184,20
228,20
41,200
151,200
26,2000
142,200
282,20
43,2000
163,200
236,200
216,200
190,20
293,20
278,20
284,20
111,200
49,2000
287,20
36,2000
274,20
166,200
132,200
27,200
126,200
43,200
23,2000
243,200
24,2000
56,2000
178,200
38,200
47,2000
55,2000
31,2000
160,200
176,200
46,200
215,200
187,200
37,2000
269,200
225,200
128,200
202,200
36,200
160,200
135,200
35,200
238,200
257,200
29,2000
136,200
295,20
39,200
40,2000
42,2000
179,20
38,200
38,2000
148,200
286,20
54,200
27,2000
34,200
280,200
46,2000
252,200
150,200
31,200
34,2000
27,2000
280,200
146,200
152,200
30,2000
184,200
267,20
30,2000
35,200
262,200
136,200
249,20
242,200
33,2000
274,200
37,2000
178,200
146,200
256,20
175,200
191,20
252,20
143,200
166,200
291,200
35,2000
169,200
147,200
151,200
38,2000
112,200
297,200
36,2000
219,20
269,20
36,2000
32,2000
166,200
37,200
252,200
165,200
293,200
251,200
29,200
40,200
34,200
231,200
36,2000
197,200
135,200
259,20
26,2000
274,200
25,2000
196,200
35,2000
244,200
274,200
112,200
24,2000
294,200
143,200
23,200
247,20
39,200
238,20
238,200
289,200
163,20
259,200
129,200
143,200
132,200
238,200
125,200
263,20
238,200
299,200
280,200
132,200
267,200
279,20
38,2000
17,200
44,200
275,20
128,200
50,200
195,20
141,20
123,200
296,20
154,200
36,200
43,200
148,200
284,20
230,200
38,200
30,200
165,20
30,200
47,2000
39,2000
22,200
161,200
289,20
38,2000
266,200
32,2000
36,2000
28,200
166,200
191,200
160,200
26,200
291,200
249,20
41,200
34,2000
126,200
32,2000
28,200
30,2000
28,2000
298,200
266,20
267,200
38,200
159,200
35,2000
29,200
252,200
274,20
47,200
34,2000
177,20
282,20
24,2000
278,200
235,20
34,200
267,200
38,2000
256,20
32,200
288,200
169,200
292,200
246,20
24,2000
183,200
27,200
168,200
255,20
129,200
269,20
253,20
200,20
244,200
28,2000
274,200
292,200
27,2000
294,20
251,20
56,200
283,20
39,2000
37,200
271,20
289,20
177,200
27,200
34,2000
38,200
151,200
161,200
152,200
133,200
143,200
176,200
165,200
20,2000
275,200
29,2000
31,2000
36,2000
42,200
137,200
140,200
151,200
270,20
299,20
28,200
187,20
177,200
25,200
49,200
180,200
244,200
207,20
25,2000
126,200
28,2000
141,200
25,2000
250,200
34,2000
174,200
234,200
35,200
257,200
38,2000
30,2000
242,20
266,200
193,200
289,200
240,200
25,2000
260,200
35,200
33,2000
46,200
200,200
168,200
198,20
32,200
123,200
30,200
29,200
34,200
275,20
225,200
253,20
251,20
230,20
154,200
153,200
271,20
21,200
41,200
271,200
29,2000
259,200
124,200
42,2000
294,20
35,200
24,2000
36,2000
29,200
300,20
25,200
175,20
133,200
266,20
273,20
34,2000
146,200
36,200
267,200
286,20
283,200
39,2000
239,20
294,200
31,200
29,2000
152,200
40,2000
165,200
264,200
216,200
278,20
157,200
43,200
139,200
172,200
141,200
158,200
193,200
274,20
27,200
128,200
32,200
182,200
32,200
33,200
31,200
31,200
34,200
245,20
276,20
129,200
23,2000
156,200
284,200
252,200
181,200
163,200
274,20
188,200
20,200
38,2000
148,200
47,200
30,200
33,2000
43,2000
119,200
40,2000
188,20
247,200
150,200
279,20
30,200
259,20
256,200
157,200
28,200
27,200
32,2000
28,200
259,200
257,200
157,200
282,200
245,200
34,200
37,200
40,2000
274,20
285,200
159,200
260,200
298,20
31,200
25,200
244,200
141,200
28,200
34,2000
229,20
32,200
263,200
36,200
256,20
24,2000
32,200
197,200
28,200
229,20
169,200
235,20
266,20
148,200
243,20
199,200
249,200
253,200
262,20
30,200
29,200
47,200
238,200
36,2000
242,200
172,200
255,200
37,200
34,2000
23,2000
262,20
156,200
154,200
276,20
44,200
284,200
158,200
170,200
31,200
32,2000
208,200
36,200
123,200
154,200
240,20
274,200
157,200
278,200
289,200
32,2000
40,2000
27,200
25,200
152,200
140,200
155,200
26,200
42,200
28,2000
250,20
274,20
205,20
284,200
38,200
283,20
37,200
34,2000
294,20
276,200
167,200
152,200
173,20
291,200
39,200
37,2000
236,20
147,200
33,2000
29,2000
150,200
295,200
41,2000
295,200
279,200
239,20
37,2000
37,2000
19,2000
130,200
41,200
137,200
140,200
271,200
135,200
252,200
31,200
147,200
151,200
270,20
117,200
280,200
119,200
139,200
34,2000
163,200
195,20
23,2000
281,200
206,20
121,200
197,200
289,20
230,20
39,2000
29,200
35,2000
21,2000
271,20
272,200
254,200
146,200
35,200
22,2000
290,20
246,20
216,20
28,2000
281,200
49,200
229,20
285,200
