Counts,Dilution
45,200
60,200
64,200
22,200
25,200
36,200
77,200
24,200
20,200
25,200
22,200
65,200
14,200
47,200
17,200
68,200
39,200
41,200
19,200
31,200
67,200
73,200
14,200
58,200
28,200
63,200
69,200
43,200
62,200
69,200
58,200
30,200
34,200
35,200
66,200
42,200
36,200
22,200
41,200
19,200
73,200
21,200
54,200
28,200
19,200
53,200
66,200
24,200
35,200
74,200
83,200
51,200
30,200
33,200
39,200
32,200
37,200
41,200
20,200
55,200
23,200
44,200
66,200
66,200
21,200
39,200
45,200
31,200
65,200
40,200
27,200
81,200
34,200
49,200
66,200
20,200
19,200
34,200
19,200
53,200
38,200
20,200
34,200
53,200
43,200
16,200
40,200
59,200
26,200
41,200
36,200
25,200
27,200
64,200
47,200
71,200
68,200
17,200
21,200
73,200
46,200
74,200
39,200
62,200
49,200
72,200
53,200
48,200
41,200
52,200
25,200
57,200
79,200
23,200
67,200
49,200
62,200
64,200
43,200
17,200
13,200
36,200
23,200
19,200
37,200
78,200
76,200
49,200
34,200
48,200
68,200
75,200
66,200
57,200
76,200
36,200
71,200
19,200
15,200
76,200
37,200
22,200
52,200
21,200
37,200
19,200
73,200
68,200
68,200
48,200
29,200
27,200
26,200
102,200
79,200
39,200
35,200
48,200
61,200
49,200
47,200
21,200
77,200
23,200
16,200
20,200
35,200
65,200
26,200
17,200
19,200
63,200
81,200
18,200
71,200
74,200
40,200
15,200
30,200
62,200
75,200
21,200
34,200
21,200
23,200
78,200
20,200
78,200
22,200
23,200
20,200
85,200
43,200
64,200
56,200
65,200
41,200
81,200
35,200
18,200
33,200
71,200
17,200
17,200
35,200
28,200
26,200
50,200
61,200
50,200
20,200
67,200
19,200
38,200
15,200
90,200
18,200
58,200
75,200
61,200
41,200
32,200
85,200
21,200
29,200
64,200
26,200
31,200
29,200
81,200
72,200
65,200
28,200
48,200
37,200
72,200
52,200
31,200
78,200
21,200
59,200
28,200
76,200
13,200
89,200
38,200
22,200
54,200
21,200
70,200
35,200
63,200
12,200
45,200
83,200
20,200
19,200
88,200
55,200
27,200
41,200
33,200
75,200
67,200
39,200
45,200
37,200
18,200
34,200
81,200
61,200
41,200
46,200
33,200
39,200
77,200
15,200
39,200
34,200
72,200
19,200
23,200
48,200
37,200
86,200
77,200
65,200
36,200
48,200
21,200
85,200
52,200
74,200
19,200
25,200
58,200
14,200
75,200
16,200
14,200
40,200
15,200
70,200
76,200
40,200
63,200
62,200
65,200
19,200
16,200
25,200
64,200
34,200
80,200
21,200
38,200
40,200
17,200
35,200
25,200
80,200
23,200
61,200
65,200
89,200
60,200
37,200
62,200
39,200
21,200
69,200
85,200
9,200
23,200
63,200
41,200
53,200
32,200
14,200
20,200
33,200
46,200
81,200
58,200
77,200
16,200
46,200
31,200
32,200
36,200
34,200
13,200
39,200
45,200
37,200
15,200
30,200
28,200
68,200
34,200
21,200
68,200
50,200
52,200
38,200
59,200
65,200
14,200
56,200
28,200
38,200
58,200
38,200
54,200
15,200
42,200
48,200
80,200
75,200
69,200
70,200
24,200
36,200
66,200
18,200
41,200
43,200
63,200
59,200
44,200
16,200
41,200
38,200
37,200
70,200
48,200
31,200
30,200
72,200
35,200
16,200
24,200
32,200
49,200
92,200
22,200
64,200
16,200
36,200
32,200
70,200
44,200
18,200
24,200
13,200
20,200
67,200
69,200
28,200
17,200
22,200
71,200
80,200
42,200
72,200
62,200
55,200
57,200
15,200
13,200
33,200
20,200
33,200
15,200
63,200
13,200
39,200
71,200
56,200
31,200
52,200
67,200
33,200
68,200
68,200
68,200
19,200
77,200
53,200
79,200
38,200
28,200
46,200
14,200
11,200
52,200
74,200
41,200
71,200
74,200
47,200
87,200
71,200
99,200
41,200
43,200
43,200
79,200
48,200
26,200
59,200
80,200
39,200
22,200
35,200
45,200
33,200
79,200
17,200
21,200
32,200
74,200
81,200
49,200
46,200
19,200
25,200
61,200
104,200
69,200
61,200
24,200
20,200
19,200
17,200
20,200
75,200
63,200
46,200
21,200
79,200
70,200
82,200
49,200
60,200
31,200
65,200
74,200
43,200
42,200
73,200
19,200
75,200
40,200
70,200
67,200
63,200
23,200
79,200
44,200
27,200
96,200
68,200
43,200
78,200
20,200
88,200
22,200
75,200
79,200
70,200
92,200
55,200
19,200
73,200
52,200
24,200
37,200
76,200
71,200
18,200
68,200
49,200
35,200
39,200
50,200
17,200
41,200
35,200
31,200
37,200
80,200
45,200
58,200
17,200
20,200
44,200
15,200
27,200
80,200
25,200
21,200
25,200
21,200
78,200
31,200
41,200
34,200
42,200
28,200
19,200
18,200
58,200
79,200
66,200
87,200
45,200
51,200
36,200
48,200
45,200
38,200
72,200
66,200
37,200
29,200
66,200
27,200
48,200
18,200
25,200
61,200
73,200
7,200
41,200
65,200
19,200
38,200
25,200
29,200
48,200
79,200
53,200
28,200
24,200
20,200
66,200
60,200
41,200
60,200
27,200
63,200
32,200
18,200
80,200
79,200
17,200
75,200
30,200
77,200
72,200
17,200
68,200
29,200
17,200
24,200
31,200
85,200
28,200
56,200
64,200
50,200
54,200
21,200
16,200
75,200
48,200
25,200
23,200
35,200
27,200
38,200
20,200
13,200
70,200
63,200
35,200
28,200
62,200
19,200
60,200
65,200
39,200
45,200
75,200
32,200
46,200
70,200
12,200
47,200
37,200
18,200
30,200
25,200
26,200
80,200
53,200
65,200
28,200
25,200
74,200
23,200
12,200
73,200
32,200
16,200
11,200
44,200
79,200
42,200
35,200
45,200
47,200
66,200
62,200
19,200
21,200
50,200
15,200
51,200
17,200
46,200
62,200
39,200
31,200
58,200
18,200
51,200
26,200
37,200
16,200
37,200
43,200
21,200
48,200
68,200
44,200
36,200
38,200
66,200
21,200
71,200
47,200
23,200
35,200
37,200
31,200
81,200
42,200
21,200
61,200
63,200
25,200
30,200
61,200
15,200
56,200
82,200
72,200
51,200
41,200
36,200
57,200
86,200
30,200
55,200
38,200
47,200
72,200
17,200
27,200
54,200
61,200
56,200
68,200
30,200
42,200
72,200
41,200
33,200
23,200
40,200
43,200
58,200
26,200
39,200
30,200
40,200
30,200
46,200
24,200
13,200
74,200
36,200
65,200
57,200
17,200
39,200
64,200
19,200
21,200
48,200
60,200
46,200
55,200
74,200
77,200
19,200
91,200
68,200
6,200
13,200
52,200
73,200
83,200
86,200
68,200
43,200
27,200
40,200
68,200
20,200
39,200
25,200
14,200
37,200
80,200
13,200
60,200
34,200
65,200
45,200
41,200
34,200
28,200
31,200
78,200
54,200
27,200
50,200
88,200
27,200
12,200
28,200
