Counts,Dilution
32,200
39,200
42,200
46,200
48,200
35,200
30,200
30,200
37,200
28,200
33,200
41,200
40,200
27,200
30,200
47,200
43,200
44,200
34,200
46,200
28,200
46,200
42,200
29,200
33,200
47,200
31,200
39,200
38,200
46,200
42,200
34,200
58,200
36,200
37,200
43,200
33,200
48,200
32,200
43,200
32,200
34,200
24,200
31,200
53,200
34,200
39,200
32,200
34,200
33,200
45,200
51,200
37,200
36,200
34,200
32,200
32,200
38,200
30,200
45,200
36,200
43,200
47,200
44,200
42,200
44,200
42,200
42,200
43,200
36,200
37,200
35,200
31,200
36,200
44,200
40,200
43,200
38,200
28,200
27,200
33,200
45,200
32,200
38,200
34,200
36,200
54,200
37,200
29,200
37,200
31,200
40,200
31,200
47,200
35,200
34,200
39,200
30,200
45,200
29,200
34,200
45,200
41,200
38,200
48,200
56,200
36,200
49,200
30,200
34,200
34,200
38,200
41,200
45,200
36,200
34,200
42,200
40,200
49,200
43,200
41,200
44,200
26,200
43,200
31,200
45,200
44,200
27,200
41,200
39,200
42,200
40,200
47,200
48,200
45,200
29,200
41,200
31,200
50,200
37,200
42,200
40,200
30,200
50,200
41,200
31,200
32,200
45,200
28,200
38,200
41,200
45,200
46,200
41,200
46,200
41,200
42,200
39,200
51,200
37,200
34,200
43,200
53,200
50,200
38,200
46,200
36,200
33,200
40,200
44,200
39,200
32,200
37,200
34,200
42,200
37,200
52,200
34,200
33,200
34,200
35,200
34,200
44,200
52,200
45,200
41,200
28,200
39,200
45,200
27,200
47,200
43,200
49,200
42,200
37,200
34,200
40,200
42,200
51,200
40,200
47,200
40,200
40,200
30,200
51,200
35,200
33,200
30,200
40,200
43,200
33,200
50,200
33,200
41,200
49,200
31,200
42,200
42,200
41,200
39,200
37,200
37,200
24,200
36,200
40,200
31,200
43,200
37,200
42,200
41,200
30,200
42,200
44,200
37,200
32,200
45,200
37,200
54,200
41,200
36,200
42,200
41,200
50,200
35,200
35,200
40,200
30,200
28,200
38,200
38,200
31,200
33,200
49,200
44,200
36,200
47,200
35,200
39,200
40,200
38,200
50,200
42,200
29,200
35,200
34,200
27,200
40,200
29,200
34,200
47,200
32,200
31,200
44,200
44,200
40,200
39,200
33,200
31,200
35,200
45,200
43,200
39,200
38,200
40,200
56,200
28,200
48,200
35,200
44,200
36,200
46,200
37,200
30,200
40,200
40,200
30,200
41,200
43,200
39,200
46,200
37,200
43,200
42,200
36,200
37,200
27,200
40,200
38,200
46,200
53,200
40,200
47,200
40,200
47,200
44,200
34,200
45,200
39,200
42,200
46,200
44,200
31,200
38,200
49,200
45,200
45,200
34,200
41,200
25,200
35,200
47,200
38,200
52,200
41,200
33,200
39,200
33,200
42,200
46,200
36,200
34,200
49,200
38,200
41,200
36,200
44,200
41,200
46,200
39,200
42,200
45,200
38,200
36,200
42,200
39,200
42,200
34,200
30,200
54,200
29,200
37,200
48,200
53,200
46,200
46,200
43,200
44,200
40,200
38,200
61,200
26,200
36,200
41,200
42,200
40,200
41,200
44,200
51,200
39,200
51,200
38,200
46,200
43,200
